ticker,price,score,momentum_%,rsi,pe,upside_%,growth,news_sentiment,news_reason,news_summary
CMPX,1.75,1.95,-65.69,23.5,0.0,678.02,0.0,0.0,fail,
PLTR,143.17,1.863,4.09,44.3,227.25,30.24,6.704,0.0,fail,
GRAB,3.89,1.674,10.2,67.7,64.83,61.73,5.615,0.0,fail,
SNAP,6.11,1.234,51.99,71.3,0.0,27.14,3.967,0.0,fail,
SGMT,8.17,0.852,79.56,77.0,0.0,215.52,0.0,0.0,fail,
AMD,336.33,0.661,71.56,89.7,128.86,-12.06,2.135,0.0,fail,
UCAR,1.65,0.553,205.56,60.7,0.0,21.21,0.0,0.0,fail,
USEG,1.13,0.539,18.47,65.6,0.0,144.34,0.0,0.0,fail,
SOXL,121.8,0.416,199.85,91.7,91.7,0.0,0.0,0.0,fail,
NVDA,215.55,0.394,30.5,88.6,44.08,24.62,0.945,0.0,fail,
ONDS,10.9,0.385,33.68,68.2,0.0,84.72,0.0,0.0,fail,
RBLX,57.24,0.35,10.28,49.3,0.0,77.03,0.0,0.0,fail,
MSFT,424.68,0.342,18.31,75.4,26.59,35.73,0.595,0.0,fail,
MGM,40.83,0.318,14.61,70.3,53.72,4.51,0.865,0.0,fail,
LCID,5.99,0.313,-34.59,20.9,0.0,113.41,0.0,0.0,fail,
YAAS,2.29,0.292,135.81,89.7,0.0,0.0,0.0,0.0,fail,
RIOT,18.44,0.279,55.92,73.4,0.0,37.92,0.0,0.0,fail,
BTG,4.59,0.237,8.77,44.5,16.39,43.58,0.0,0.0,fail,
POET,7.99,0.212,57.28,55.1,0.0,2.63,0.0,0.0,fail,
INTC,83.7,0.197,103.2,87.4,0.0,-11.4,0.0,0.0,fail,
META,678.21,0.195,26.44,79.7,28.87,26.08,0.093,0.0,fail,
SHOP,124.03,0.195,10.97,56.5,131.95,28.76,-0.425,0.0,fail,
OGN,13.16,0.194,130.96,81.8,18.28,-34.68,0.0,0.0,fail,
UBER,76.53,0.194,9.47,65.1,16.18,35.19,-0.957,0.0,fail,
GOOGL,352.24,0.189,28.79,82.9,32.59,7.46,0.298,0.0,fail,
COIN,197.44,0.187,22.79,62.4,44.37,21.94,0.0,0.0,fail,
PYPL,49.88,0.17,11.65,71.2,9.22,6.2,0.282,0.0,fail,
AAPL,266.78,0.164,8.17,63.4,33.81,11.59,0.159,0.0,fail,
BMNG,1.4,0.154,33.81,56.6,0.0,0.0,0.0,0.0,no news,No news available
TSLA,379.23,0.154,6.74,66.1,347.92,10.32,0.166,0.0,fail,
DIS,102.43,0.153,8.6,69.9,15.09,25.21,-0.06,0.0,fail,
TQQQ,62.49,0.15,64.91,90.1,45.64,0.0,0.0,0.0,fail,
ET,19.1,0.143,-2.5,49.1,15.79,16.56,-0.138,0.0,fail,
CARR,62.17,0.141,14.37,65.2,36.79,14.26,-0.979,0.0,fail,
CPRX,29.43,0.141,23.76,76.7,17.52,15.53,-0.058,0.0,fail,
PINS,20.33,0.127,12.85,70.1,33.32,13.93,-0.85,0.0,fail,
NOK,10.72,0.123,34.67,71.8,67.0,-0.81,0.0,0.0,fail,
PLUG,3.09,0.122,44.29,70.7,0.0,-8.31,0.0,0.0,fail,
F,12.48,0.12,11.33,67.8,0.0,10.98,0.0,0.0,fail,
RIVN,16.78,0.116,15.84,70.3,0.0,8.19,0.0,0.0,fail,
BYND,0.93,0.084,51.87,66.6,0.0,-28.76,0.0,0.0,fail,
MRNA,49.03,0.079,1.66,46.9,0.0,-5.98,0.0,0.0,fail,
CVX,185.36,0.076,-12.03,28.8,27.96,14.09,-0.145,0.0,fail,
XOM,148.67,0.057,-13.3,24.3,22.19,11.75,-0.146,0.0,fail,
CHSN,0.05,0.001,-97.91,12.5,1.82,0.0,0.687,0.0,fail,
ONCO,0.8,-0.032,-48.78,32.9,0.0,0.0,0.0,0.0,fail,
TZA,5.02,-0.049,-35.95,11.5,0.0,0.0,0.0,0.0,fail,
NVD,4.87,-0.065,-42.85,10.6,0.0,0.0,0.0,0.0,fail,
ASBP,0.24,-0.103,-74.46,23.0,0.0,0.0,0.0,0.0,fail,
CTNT,0.03,-0.16,-97.93,18.0,0.0,0.0,0.0,0.0,fail,
